project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD005164	proteinGroups.txt	SEARCH	2135728	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD005164/proteinGroups.txt	raw/proteomics/PRIDE/PXD005164/proteinGroups.txt	license_unverified	blocked_until_reviewed	pending
PXD024059	20210206_AAI_TOP1_M_trypchymo.csv	SEARCH	2172041	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD024059/20210206_AAI_TOP1_M_trypchymo.csv	raw/proteomics/PRIDE/PXD024059/20210206_AAI_TOP1_M_trypchymo.csv	license_unverified	blocked_until_reviewed	pending
PXD024605	20200306_KDC_CC_RPLC1min20-36.csv	SEARCH	2180033	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD024605/20200306_KDC_CC_RPLC1min20-36.csv	raw/proteomics/PRIDE/PXD024605/20200306_KDC_CC_RPLC1min20-36.csv	license_unverified	blocked_until_reviewed	pending
PXD067665	SO-Acetylene_HOCl_INVIVO_proteinGroups.txt	SEARCH	2189888	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD067665/SO-Acetylene_HOCl_INVIVO_proteinGroups.txt	raw/proteomics/PRIDE/PXD067665/SO-Acetylene_HOCl_INVIVO_proteinGroups.txt	license_unverified	blocked_until_reviewed	pending
PXD030245	TTSB_modificationSpecificPeptides.txt	SEARCH	2195299	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030245/TTSB_modificationSpecificPeptides.txt	raw/proteomics/PRIDE/PXD030245/TTSB_modificationSpecificPeptides.txt	license_unverified	blocked_until_reviewed	pending
PXD071663	report.pg_matrix.tsv	SEARCH	2197765	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD071663/report.pg_matrix.tsv	raw/proteomics/PRIDE/PXD071663/report.pg_matrix.tsv	license_unverified	blocked_until_reviewed	pending
PXD058013	BmrA_WT_PLGS.zip	SEARCH	2211351	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD058013/BmrA_WT_PLGS.zip	raw/proteomics/PRIDE/PXD058013/BmrA_WT_PLGS.zip	license_unverified	blocked_until_reviewed	pending
PXD003002	04_28_15_A_rep1.unique_peptides.tsv	SEARCH	2273095	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003002/04_28_15_A_rep1.unique_peptides.tsv	raw/proteomics/PRIDE/PXD003002/04_28_15_A_rep1.unique_peptides.tsv	license_unverified	blocked_until_reviewed	pending
PXD000573	E.coliat30minafterTempshift-MEM-Rep1.prot.xml	SEARCH	2294036	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD000573/E.coliat30minafterTempshift-MEM-Rep1.prot.xml	raw/proteomics/PRIDE/PXD000573/E.coliat30minafterTempshift-MEM-Rep1.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD053481	msms.txt	SEARCH	2332776	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PXD053481/msms.txt	raw/proteomics/PRIDE/PXD053481/msms.txt	license_unverified	blocked_until_reviewed	pending
PXD038770	AllQuantifiedProteinGroups1.txt	SEARCH	2348332	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD038770/AllQuantifiedProteinGroups1.txt	raw/proteomics/PRIDE/PXD038770/AllQuantifiedProteinGroups1.txt	license_unverified	blocked_until_reviewed	pending
PXD016963	MeroX-outputs.zip	SEARCH	2349000	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD016963/MeroX-outputs.zip	raw/proteomics/PRIDE/PXD016963/MeroX-outputs.zip	license_unverified	blocked_until_reviewed	pending
PXD034108	T_Krebs_300119_MaxQuant_Results.zip	SEARCH	2363451	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034108/T_Krebs_300119_MaxQuant_Results.zip	raw/proteomics/PRIDE/PXD034108/T_Krebs_300119_MaxQuant_Results.zip	license_unverified	blocked_until_reviewed	pending
PXD021427	mzRange.txt	SEARCH	2373537	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD021427/mzRange.txt	raw/proteomics/PRIDE/PXD021427/mzRange.txt	license_unverified	blocked_until_reviewed	pending
PXD054343	9_directLFQ_report.tsv	SEARCH	2375710	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/10/PXD054343/9_directLFQ_report.tsv	raw/proteomics/PRIDE/PXD054343/9_directLFQ_report.tsv	license_unverified	blocked_until_reviewed	pending
PXD014344	20190321_Ecoli_medium.xlsx	SEARCH	2376120	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD014344/20190321_Ecoli_medium.xlsx	raw/proteomics/PRIDE/PXD014344/20190321_Ecoli_medium.xlsx	license_unverified	blocked_until_reviewed	pending
PXD021064	mzRange.txt	SEARCH	2507028	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD021064/mzRange.txt	raw/proteomics/PRIDE/PXD021064/mzRange.txt	license_unverified	blocked_until_reviewed	pending
